통화명,매매기준율,현찰,현찰,송금,송금,미화환산율
통화명,매매기준율,사실 때,파실 때,보내실 때,받으실 때,미화환산율
미국 USD,1472.5,1498.26,1446.74,1486.9,1458.1,1.0
유럽연합 EUR,1711.34,1745.39,1677.29,1728.45,1694.23,1.162
일본 JPY (100엔),930.61,946.89,914.33,939.72,921.5,0.632
중국 CNY,214.37,225.08,203.66,216.51,212.23,0.146
홍콩 HKD,188.13,191.83,184.43,190.01,186.25,0.128
대만 TWD,46.35,52.42,41.72,46.85,45.85,0.032
영국 GBP,1978.75,2017.73,1939.77,1998.53,1958.97,1.344
오만 OMR,3824.38,4092.08,3556.68,3870.27,3778.49,2.597
캐나다 CAD,1085.39,1106.77,1064.01,1096.24,1074.54,0.737
스위스 CHF,1893.65,1930.95,1856.35,1912.58,1874.72,1.286
스웨덴 SEK,160.67,165.97,151.52,162.27,159.07,0.109
호주 AUD,1054.83,1075.61,1034.05,1065.37,1044.29,0.716
뉴질랜드 NZD,873.71,890.92,856.5,882.44,864.98,0.593
체코 CZK,70.13,76.09,63.82,70.9,69.36,0.048
칠레 CLP,1.65,1.81,1.49,1.66,1.64,0.001
튀르키예 TRY,33.41,,,33.77,33.05,0.023
몽골 MNT,0.41,,,0.41,0.41,0.0
이스라엘 ILS,475.91,523.5,437.84,481.62,470.2,0.323
덴마크 DKK,229.03,236.58,215.98,231.32,226.74,0.156
노르웨이 NOK,153.28,158.33,144.55,154.81,151.75,0.104
사우디아라비아 SAR,392.34,417.05,365.27,396.26,388.42,0.266
쿠웨이트 KWD,4796.42,5108.18,4412.71,4844.38,4748.46,3.257
바레인 BHD,3900.66,4150.3,3588.61,3939.66,3861.66,2.649
아랍에미리트 AED,400.96,423.01,373.3,404.96,396.96,0.272
요르단 JOD,2076.87,2261.71,1910.73,2101.79,2051.95,1.41
이집트 EGP,28.32,,,28.65,27.99,0.019
태국 THB,46.48,48.8,43.7,46.94,46.02,0.032
싱가포르 SGD,1157.44,1180.47,1134.41,1169.01,1145.87,0.786
말레이시아 MYR,375.21,402.97,347.45,378.96,371.46,0.255
인도네시아 IDR 100,8.73,9.6,7.86,8.81,8.65,0.006
카타르 QAR,403.91,,,408.75,399.07,0.274
카자흐스탄 KZT,3.0,,,3.03,2.97,0.002
브루나이 BND,1157.44,1203.73,1088.0,1171.32,1143.56,0.786
인도 INR,16.01,,,16.19,15.83,0.011
파키스탄 PKR,5.27,,,5.33,5.21,0.004
방글라데시 BDT,12.02,,,12.16,11.88,0.008
필리핀 PHP,24.92,27.41,22.88,25.16,24.68,0.017
멕시코 MXN,83.74,92.53,74.95,84.57,82.91,0.057
브라질 BRL,285.13,314.21,256.62,288.55,281.71,0.194
베트남 VND 100,5.61,6.27,4.95,5.66,5.56,0.004
남아프리카 공화국 ZAR,90.28,97.5,83.06,91.36,89.2,0.061
러시아 RUB,18.64,20.41,15.38,19.29,17.99,0.013
헝가리 HUF,4.44,4.85,4.09,4.48,4.4,0.003
폴란드 PLN,401.29,433.39,369.19,405.7,396.88,0.273
스리랑카 LKR,4.74,,,4.79,4.69,0.003
알제리 DZD,11.19,,,11.32,11.06,0.008
케냐 KES,11.39,,,11.52,11.26,0.008
콜롬비아 COP,0.4,,,0.4,0.4,0.0
탄자니아 TZS,0.57,,,0.57,0.57,0.0
네팔 NPR,10.01,,,10.13,9.89,0.007
루마니아 RON,336.01,,,339.7,332.32,0.228
리비아 LYD,231.49,,,234.26,228.72,0.157
마카오 MOP,182.56,,,184.75,180.37,0.124
미얀마 MMK,0.7,,,0.7,0.7,0.001
에티오피아 ETB,9.5,,,9.61,9.39,0.007
우즈베키스탄 UZS,0.12,,,0.12,0.12,0.0
캄보디아 KHR,0.37,,,0.37,0.37,0.0
피지 FJD,670.5,,,678.54,662.46,0.455
